Country,State,City,Address
American Samoa,Western District,Tafuna,Ottoville Road
Argentina,Mendoza,Las Heras,Avenida Champagnat
Argentina,,Bahia Blanca,Avenida Alberto Pedro Cabrera Aldea Romana
Argentina,,Buenos Aires,Autopista Richieri y Puente 13 Ciudad Evita
Argentina,,Córdoba,Avenida Pedro Simón Laplace 5637 Villa Belgrano
Argentina,,Salta,Ruta 51
Australia,New South Wales,Carlingford,756 Pennant Hills Road (Corner of Pennant Hills Road and Moseley Street)
Australia,Queensland,Kangaroo Point,200 River Terrace
Australia,South Australia,Marden,53-59 Lower Portrush Road
Australia,Victoria,Wantirna South,76 Cathies Lane
Australia,Western Australia,Yokine,163-173 Wordsworth Avenue
Bolivia,Cochabamba,Cochabamba,Avenida Melchor Urquidi 1500 Alto Queru Queru
Brazil,Amazonas,Manaus,Avenida Coronel Texeira 3162 Ponta Negra
Brazil,Bahia,Salvador,Av. Luís Viana
Brazil,Ceará,Fortaleza,Avenida Santos Dumont 7771
Brazil,Distrito Federal,Brasília,GA/Norte Quadra 612 ? Lote 
Brazil,Minas Gerais,Belo Horizonte,Rua Professor Jose Vieira de Mendonça Engenho Nogueira
Brazil,Pará,Belém,Av. Centenário Val de Caes
Brazil,Paraná,Curitiba,Rua Deputado Heitor Alencar Furtado 3641 Mossunguê
Brazil,Pernambuco,Recife,Rua Dr. José de Góes 284 Parnamirim
Brazil,Rio de Janeiro,Rio de Janeiro,Avenida das Américas 8547 Barra da Tijuca
Brazil,Rio Grande do Sul,Porto Alegre,Rua General Salvador Pinheiro 50 Vila Jardim
Brazil,São Paulo,Campinas,Rua James Esdras Faust 400 Notre Dame
Brazil,São Paulo,São Paulo,Avenida Professor Francisco Morato 2390 Caxingui
Cambodia,,Phnom Penh,Russian Confederation Street
Canada,Alberta,Calgary,9802 Rocky Ridge Road NW
Canada,Alberta,Cardston,348 3rd Street West
Canada,Alberta,Edmonton,14325 53rd Avenue NW
Canada,British Columbia,Langley,20370 82nd Avenue
Canada,Manitoba,Winnipeg,15 Centre Street
Canada,Nova Scotia,Dartmouth,44 Cumberland Drive
Canada,Ontario,Brampton,10060 Bramalea Road
Canada,Quebec,Longueuil,1450 Boulevard Marie-Victorin
Canada,Saskatchewan,Regina,111 Wascana Gate North
Cape Verde,São Tiago,Praia,Avenida Cidade de Lisboa Bairro Taiti
Chile,Bío-Bío,Concepción,1525 Pedro de Valdivia
Chile,Región Metropolitana,Santiago,Pocuro 1940 Providencia
Chile,,Antofagasta,Avenida de Las Palmeras 44
Colombia,Atlántico,Barranquilla,Carrera 30 No. 1-1481 Villa Campestre
Colombia,Distrito,Bogotá,Carrera 46 no. 127?45
Colombia,,Cali,Calle 50 Norte and Avenida 4a Norte La Flora
Costa Rica,,Heredia,Del Hotel Marriott 600 Metros Oeste La Ribera de Belén
Cote d'Ivoire,,Abidjan,
Democratic Republic of the Congo,,Kinshasa,Avenue de l'OUA Commune de Ngaliema
Democratic Republic of the Congo,,Lubumbashi,Av. Kashobwe
Denmark,,Frederiksberg,Priorvej 12
Dominican Republic,Distrito Nacional,Santo Domingo,Avenida Bolivar no. 825 Los Robles
Ecuador,Guayaquil,Urdesa Norte,Calle 6ta y Avenida Rodrigo Chávez González Principado de las Lomas
Ecuador,,Quito,Cumbayá
El Salvador,La Libertad,Antiguo Cuscatlán,Avenida El Espino y Calle El Pedregal Colonia San Benito
Fiji,Suva,Samabula,2-20 Lakeba Street
Finland,,Espoo,Leppäsillantie 3
France,,Le Chesnay,46 Boulevard Saint-Antoine 15-21 rue du General Welvert
French Polynesia,Tahiti,Papeete,Route de Fautaua?Titioro
Germany,Hessen,Friedrichsdorf,Talstrasse 10
Germany,Sachsen,Freiberg,Hainichener Strasse 64
Ghana,,Accra,57 Independence Avenue North Ridge PMB CT 209 Cantonments
Ghana,,Kumasi,
Guam,,Yigo,321 Chalan Pale Ramon Lagu Rte 1
Guatemala,Alta Verapaz,Cobán,4a. Avenida 4-48 Zona 8 Barrio Bella Vista
Guatemala,Guatemala,Guatemala City,24 Avenida 2-20 Zona 15 Vista Hermosa 1
Guatemala,,Guatemala City Metropolitan Area,13 Calle 5-56 Zona 11
Guatemala,,Quetzaltenango,9a Calle 4-03 Zona 9 Frente a Residenciales Los Cerezos 1
Haiti,Port-au-Prince,Pétion-Ville,Route de Frères Delmas 105
Honduras,Cortés,San Pedro Sula,Bulevar Mario Catarino Rivas
Honduras,Francisco Morazán,Comayagüela,Residenciales Roble Oeste Boulevard Roble Oeste 3ra Calle Sur
Hong Kong,,Kowloon City,2 Cornwall Street Kowloon Tong
India,Karnataka,Bengaluru,2-B Whitefield Main Road Garudachar Palya Mahadevapura
Italy,,Rome,Via di Settebagni 376
Japan,Fukuoka-ken,Fukuoka-shi,9-15 Hirao Johsui Machi Chuo-ku
Japan,Hokkaid?,Sapporo,1-6-1 Oyachi-Nishi Atsubetsu-ku
Japan,Okinawa-ken,Okinawa Shi,7-11 Matsumoto
Japan,,Tokyo,5-8-10 Minami Azabu Minato-Ku
Kenya,,Nairobi,Mountain View
Kiribati,,Tarawa,Ambo
Mexico,Baja California,Tijuana,Paseo Del Rio 6832 Esquina Campestre Oriente Col 3 RA Etapa Rio Tijuana
Mexico,Chiapas,Tuxtla Gutiérrez,Carretera a Chicoasen Chiapas Kilómetro 14 Esquina Paseo de la Roseta Fraccionamiento San José Chapultepec
Mexico,Chihuahua,Ciudad Juárez,Calle Paraguay #290 Esquina José Borunda Colonia Partido Romero
Mexico,Chihuahua,Colonia Juárez,Calles Chihuahua y Díaz
Mexico,Distrito Federal,Mexico City,Avenida 510 no. 90 Colonia San Juan de Aragón
Mexico,Durango,Gómez Palacio,París and Amsterdam
Mexico,Jalisco,Zapopán,Avenida Patria no. 879 Fraccionamiento Jardines Tepeyac
Mexico,Nuevo León,Monterrey,Avenida Eugenio Garza Sada Esquina Privada Valle de la Estanzuela Colonia Valle Alto
Mexico,Oaxaca,Oaxaca,Avenida Universidad no. 139 Fraccionamiento Real de Candiani
Mexico,Querétaro,Querétaro,Prolongación Tecnológico Norte 150 Colonia San Pablo
Mexico,Sonora,Hermosillo,General Pedro García Conde no. 303 Esquina Con Juan José Ríos Colonia Pitic
Mexico,Tabasco,Villahermosa,Avenida 27 de Febrero no. 1717 Colonia Atasta de Serra
Mexico,Tamaulipas,Ciudad Madero,Avenida Ejército Mexicano no. 74 con 3A Avenida Colonia Lomas del Gallo
Mexico,Veracruz,Boca del Río,Avenida Ejército Mexicano Esquina Michoacán Colonia Luís Echeverría
Mexico,Yucatán,Mérida,Calle 70 no. 527 Esquina 65 y 67 Colonia Centro
Mexico,,Puebla,15 de Mayo Los Cipreses
Netherlands,,Zoetermeer,Osijlaan 2
New Zealand,,Auckland,Redoubt Road Manukau
New Zealand,,Hamilton,509 Tuhikaramea Road Temple View
Nigeria,Abia State,Aba,Okpu-Umuoba Road Off Aba-Owerri Road at Union Bank
Panama,Cárdenas,Ancón,Calle Rufina 3172
Papua New Guinea,,Port Moresby,Muniogo Crescent Badili
Paraguay,,Asunción,Esquina Brasilia y España
Peru,Arequipa,Arequipa,Avenida Cusco 380 Carmen Alto
Peru,La Libertad,Trujillo,Av. Mansiche Km 35 Carretera hacia Huanchaco
Peru,Lima,Lima,Eloy Espinoza Urbanización Ingenieria San Martín de Porres
Peru,Lima,Lima,Av. Javier Prado Este 6420 Urb. Santa Patricia La Molina
Philippines,Cebu,Cebu City,Gorordo Avenue Barangay Lahug
Philippines,Davao del Sur,Davao City,Ma-a Road and Anahaw Road Barangay Ma-a
Philippines,Metro Manila,Muntinlupa,Filinvest Avenue and Corporate Avenue Alabang
Philippines,Metro Manila,Quezon City,13 Temple Drive Greenmeadows Subdivision
Philippines,,Bacolod,Bacolod Airport Access Road (north of Buri Road)
Philippines,,Urdaneta,MacArthur Highway
Portugal,,Lisbon,Avenida Dom João II 1990-364 Moscavide
Puerto Rico,,San Juan,123 Calle Ronda Urbanización Villa Andalucía
Samoa,Apia,Pesega,Vaitele Street
Sierra Leone,,Freetown,Jui Road Kossoh Town
South Africa,KwaZulu-Natal,Umhlanga,2 Izinga Drive Izinga Ridge
South Africa,,Cape Town,3 Liesbeek Road Observatory
South Africa,,Johannesburg,7 Jubilee Road Parktown
South Korea,Seoul-teukbyeolsi,Seoul-si,500-23 Changcheon-dong Seodaemun-gu
Spain,,Madrid,Calle del Templo no. 2
Sweden,,Västerhaninge,Tempelvägen 5
Switzerland,Bern,Zollikofen,Tempelstrasse 2
Taiwan,,Kaohsiung,
Taiwan,,Taipei,256 Ai Kuo East Road
Thailand,,Bangkok,1645/6 New Petchaburi Road Makkasan Ratchathewi
Tonga,Tongatapu,Nuku'alofa,Loto Road Liahona
Tonga,Vava'u,Neiafu,Tu?I Road
Ukraine,Kyivs'ka Oblast,Kyevo-Sviatoshyns'ky Rayon,1 Yabluneva Street v. Sofiivs'ka Borshchagivka
United Kingdom,,Lancashire,Temple Way Hartwood Green Chorley
United Kingdom,,Lingfield,West Park Road Newchapel
United States,Alabama,Gardendale,1927 Mount Olive Boulevard
United States,Alaska,Anchorage,13161 Brayton Drive
United States,Arizona,Central,5291 West Highway 70
United States,Arizona,Gilbert,3301 S Greenfield Rd
United States,Arizona,Mesa,101 South LeSueur
United States,Arizona,Phoenix,5220 West Pinnacle Peak Road
United States,Arizona,Snowflake,1875 West Canyon Drive
United States,Arizona,Tucson,7281 N Skyline Dr
United States,Arkansas,Bentonville,1105 McCollum Drive
United States,California,Fresno,6290 North Valentine Avenue
United States,California,Los Angeles,10777 Santa Monica Boulevard
United States,California,Newport Beach,2300 Bonita Canyon Drive
United States,California,Oakland,4770 Lincoln Avenue
United States,California,Rancho Cordova,2110 California Circle
United States,California,Redlands,1761 5th Avenue
United States,California,San Diego,7474 Charmant Drive
United States,California,Yorba Linda,Bastanchury Road and Osmond Street
United States,California,Yuba City,1470 Butte House Road
United States,Colorado,Centennial,2001 East Phillips Circle
United States,Colorado,Fort Collins,2180 Majestic Drive
United States,Colorado,Grand Junction,Horizon Drive and North 12th Street
United States,Connecticut,Farmington,2 Central Way
United States,Florida,Davie,3901 SW 154th Avenue
United States,Florida,Tallahassee,2440 Papillon Way
United States,Florida,Windermere,9000 Windy Ridge Road
United States,Georgia,Sandy Springs,6450 Barfield Road NE
United States,Hawaii,Kailua Kona,75-230 Kalani Street
United States,Hawaii,Laie,55-600 Naniloa Loop
United States,Idaho,Boise,1211 South Cole Road
United States,Idaho,Burley,40 South and 150 East
United States,Idaho,Idaho Falls,1000 Memorial Drive
United States,Idaho,Meridian,7355 North Linder Road
United States,Idaho,Montpelier,Washington Street
United States,Idaho,Pocatello,3100 Butte Street
United States,Idaho,Rexburg,750 South 2nd East
United States,Idaho,Rexburg,
United States,Idaho,Twin Falls,1405 Eastland Drive North
United States,Illinois,Glenview,4151 West Lake Avenue
United States,Illinois,Nauvoo,50 North Wells Street
United States,Indiana,Carmel,11565 Temple Dr
United States,Kentucky,Crestwood,7116 West Highway 22
United States,Louisiana,Baton Rouge,10339 Highland Road
United States,Maryland,Kensington,9900 Stoneybrook Drive
United States,Massachusetts,Belmont,100 Hinckley Way (formerly 86 Frontage Road)
United States,Michigan,Bloomfield Hills,37425 Woodward Avenue
United States,Minnesota,Oakdale,2150 Hadley Avenue North
United States,Missouri,Kansas City,7001 Searcy Creek Parkway
United States,Missouri,St. Louis,12555 North Outer Forty Drive
United States,Montana,Billings,3100 Rim Point Drive
United States,Montana,Helena,1260 Otter Road
United States,Nebraska,Omaha,8283 North 34th Street
United States,Nevada,Elko,Ruby Vista Drive
United States,Nevada,Las Vegas,827 Temple View Drive
United States,Nevada,Reno,2000 Beaumont Parkway
United States,New Mexico,Albuquerque,10301 San Francisco Drive NE
United States,New Mexico,Farmington,4400 College Boulevard
United States,New York,New York,125 Columbus Avenue
United States,New York,Palmyra,2720 Temple Road
United States,North Carolina,Apex,574 Bryan Drive
United States,North Dakota,Bismarck,2930 Cody Drive
United States,Ohio,Columbus,3870 Gateway Boulevard
United States,Oklahoma,Yukon,12030 North Mustang Road
United States,Oregon,Central Point,3900 Grant Road
United States,Oregon,Lake Oswego,13600 SW Kruse Oaks Boulevard
United States,Oregon,Springfield,International Boulevard and Corporate Way
United States,Pennsylvania,Cranberry Township,2093 Powell Road
United States,Pennsylvania,Philadelphia,1739 Vine Street
United States,South Carolina,Hopkins,2905 Trotter Road
United States,Tennessee,Bartlett,4199 Kirby-Whitten Parkway
United States,Tennessee,Franklin,1100 Gray Fox Lane
United States,Texas,Dallas,6363 Willow Lane
United States,Texas,Lubbock,7016 Frankford Avenue
United States,Texas,McAllen,300 West Trenton Road
United States,Texas,San Antonio,20080 Stone Oak Parkway
United States,Texas,Spring,15725 Champion Forest Drive
United States,Utah,American Fork,742 North 900 East
United States,Utah,Bountiful,640 South Bountiful Boulevard
United States,Utah,Brigham City,250 South Main Street
United States,Utah,Cedar City,280 S Cove Dr
United States,Utah,Draper,14065 Canyon Vista Lane
United States,Utah,Ephraim,200 North and 400 East
United States,Utah,Layton,1400 East Oakhills Drive (approximate)
United States,Utah,Lindon,Approximately 850 East Center Street
United States,Utah,Logan,175 North 300 East
United States,Utah,Manti,Temple Hill
United States,Utah,Monticello,365 North 200 West
United States,Utah,Ogden,350 22nd Street
United States,Utah,Orem,1471 South Geneva Road (approximate)
United States,Utah,Payson,1494 South 930 West
United States,Utah,Provo,50 South University Avenue
United States,Utah,Provo,2200 Temple Hill Drive
United States,Utah,Salt Lake City,50 West North Temple Street
United States,Utah,Saratoga Springs, 987 South Ensign Drive
United States,Utah,Smithfield,N 800 West and W 100 North
United States,Utah,South Jordan,10200 South 1300 West
United States,Utah,South Jordan,11022 South 4000 West
United States,Utah,St. George,1555 South Red Cliffs Temple Street
United States,Utah,St. George,250 East 400 South
United States,Utah,Syracuse,1025 South 2500 West
United States,Utah,Taylorsville,2603 West 4700 South
United States,Utah,Tooele,West of 2400 North 400 West
United States,Utah,Vernal,170 South 400 West
United States,Virginia,Glen Allen,10915 Staples Mill Rd
United States,Washington,Bellevue,2808 148th Avenue SE
United States,Washington,Moses Lake,
United States,Washington,Richland,969 Gage Boulevard
United States,Washington,Spokane,13710 East 40th Avenue
United States,Wyoming,Afton,885 South Washington Street
United States,Wyoming,Casper,2905 Independence Court
Uruguay,,Montevideo,Bolonia 1722 Carrasco
Vanuatu,,Port Vila,Blacksands
Venezuela,Distrito Federal,Caracas,Avenida C con Calle C-1 Urbanización Caurimare
Zimbabwe,,Harare,65 Enterprise Road Highlands
